code,likelihood
A04.7,C
A80.0,V
D50.0,E
D52.1,A1
D59.0,A1
D59.2,A1
D61.1,A1
D61.9,E
D62,D
D64.2,A2
D65,E
D68.3,A1
D68.4,E
D68.8,U
D68.9,E
D69,E
D69.5,D
D69.6,D
D69.9,E
D70,D
E03.2,A2
E06.4,A1
E15,C
E16.0,A1
E23.1,A1
E24.2,A1
E27.3,A1
E66.1,A1
E86,E
E87,E
E87.0,E
E87.1,E
E87.2,E
E87.3,E
E87.4,E
E87.5,E
E87.6,E
E87.7,E
E87.8,E
F05,E
F11,A2
F11.0,A2
F11.1,A2
F11.2,A2
F11.3,A2
F11.4,A2
F11.5,A2
F11.6,A2
F11.7,A2
F11.8,A2
F11.9,A2
F13,A2
F13.0,A2
F13.1,A2
F13.2,A2
F13.3,A2
F13.4,A2
F13.5,A2
F13.6,A2
F13.7,A2
F13.8,A2
F13.9,A2
F15,E
F15.0,A2
F15.1,A2
F15.2,A2
F15.3,A2
F15.4,A2
F15.5,A2
F15.6,A2
F15.7,A2
F15.8,A2
F15.9,A2
F16,E
F19,E
F19.0,A2
F19.1,A2
F19.2,A2
F19.3,A2
F19.4,A2
F19.5,A2
F19.6,A2
F19.7,A2
F19.8,A2
F19.9,A2
F52,D
F52.0,D
F52.1,D
F52.2,D
F52.3,D
F52.4,D
F52.5,D
F52.6,D
F52.7,D
F52.8,D
F52.9,D
F55,B2
G04.0,E
G21.0,A1
G21.1,A1
G21.2,A2
G24.0,A1
G25.0,U
G25.1,A1
G25.3,E
G25.4,A1
G25.6,A1
G40.5,E
G44.4,A1
G62.0,A1
G71.1,E
G72.0,A1
G95.8,E
H11.3,E
H21.0,E
H26.3,A1
H31.3,E
H35.6,E
H40.6,A1
H43.1,E
H53,D
H53.0,D
H53.1,D
H53.2,D
H53.3,D
H53.4,D
H53.5,D
H53.6,D
H53.8,D
H53.9,D
H91.0,C
H92.2,E
I15.8,D
I15.9,D
I26.0,E
I26.9,E
I31.2,E
I42.7,A2
I44,E
I44.0,E
I44.1,E
I44.2,E
I44.3,E
I44.4,E
I44.5,E
I44.6,E
I44.7,E
I45.8,E
I46.1,E
I47.2,E
I49.0,U
I60,E
I61,E
I61.0,E
I61.1,E
I61.2,E
I61.3,E
I61.4,E
I61.5,E
I61.6,E
I61.8,E
I61.9,E
I62,E
I80,E
I80.0,E
I80.1,E
I80.2,E
I80.3,E
I80.8,E
I80.9,E
I85.0,U
I95,E
I95.2,A1
J38.5,E
J45.0,E
J45.1,D
J45.8,E
J46,U
J70.2,A1
J70.3,A1
J70.4,A1
J80,U
J81,E
K25,E
K25.0,D
K25.1,D
K25.2,D
K25.3,D
K25.4,D
K25.5,D
K25.6,D
K25.7,D
K25.9,D
K26,E
K26.0,D
K26.1,D
K26.2,D
K26.3,D
K26.4,D
K26.5,D
K26.6,D
K26.7,D
K26.9,D
K27,E
K27.0,D
K27.1,D
K27.2,D
K27.3,D
K27.4,D
K27.5,D
K27.6,D
K27.7,D
K27.9,D
K28,D
K28.0,D
